Club,Valor01/09/2020,Valor15/09/2020,Valor01/10/2020,Valor15/10/2020,Valor01/11/2020,Valor15/11/2020,Valor01/12/2020,Valor15/12/2020,Valor01/01/2021,Valor15/01/2021,Valor01/02/2021,Valor15/02/2021,Valor01/03/2021,Valor15/03/2021,Valor01/04/2021,Valor15/04/2021,Valor01/05/2021,Valor15/05/2021
FC Barcelona,1050.0,1020.0,925.2,878.5,878.7,878.0,885.2,888.0,888.0,802.5,807.0,805.0,805.0,810.0,823.0,823.0,823.0,823.0
Atlético de Madrid,768.6,777.7,760.0,735.5,735.75,753.25,777.25,776.7,766.7,770.2,769.0,769.0,769.0,769.0,748.0,748.0,748.0,748.0
Real Madrid CF,1060.0,930.3,877.2,855.0,855.0,855.0,842.0,842.0,842.0,782.0,742.0,742.0,745.0,745.0,745.5,745.5,745.5,745.5
Sevilla FC,333.0,358.9,350.3,348.9,348.9,348.9,350.4,350.4,350.4,346.9,352.9,343.9,343.9,343.9,369.9,369.9,369.9,369.9
Real Sociedad,327.1,317.6,297.6,309.6,309.6,309.6,319.6,319.6,319.6,348.9,337.9,337.9,337.9,337.9,345.9,345.5,345.5,345.5
Villarreal CF,269.2,275.6,282.5,263.8,263.8,267.5,277.5,279.3,288.1,252.3,251.5,251.5,246.7,246.7,247.7,247.7,247.7,247.7
Valencia CF,288.38,282.38,282.5,244.7,244.7,227.2,226.4,227.2,226.2,233.2,253.5,256.7,256.7,256.7,246.7,246.7,246.7,246.7
Athletic Club,216.3,215.9,215.9,222.9,222.9,223.2,225.7,225.9,225.9,215.1,213.6,211.6,211.6,211.6,219.8,219.8,219.8,219.8
Real Betis Balompié,231.65,230.3,230.3,215.5,213.5,213.5,217.0,217.0,217.0,202.1,195.6,196.4,196.4,196.4,199.4,199.4,199.4,199.4
Getafe CF,157.75,154.15,152.75,161.7,161.7,161.7,161.7,161.7,161.7,187.0,182.5,178.5,178.5,178.5,169.5,169.5,169.5,169.5
RC Celta de Vigo,127.6,120.4,129.2,119.9,120.05,120.9,117.05,117.5,122.0,123.2,127.2,119.2,119.2,118.2,129.2,129.2,129.2,129.2
Granada CF,69.45,81.65,80.93,113.3,113.3,113.75,117.3,117.4,117.3,110.1,110.1,111.9,111.9,111.9,115.9,115.9,115.9,115.95
Levante UD,106.3,105.05,104.1,107.9,107.9,107.9,110.4,110.4,110.4,105.0,105.0,104.3,104.3,104.3,107.5,107.5,107.5,107.5
CA Osasuna,54.6,59.95,66.45,74.5,74.5,74.5,76.0,76.0,76.0,80.5,79.0,80.0,80.2,80.2,83.0,83.0,83.0,83.0
Deportivo Alavés,87.6,88.68,85.8,84.0,84.05,84.1,84.1,83.9,83.9,78.0,78.5,80.0,80.0,80.0,75.0,75.0,75.0,75.0
SD Eibar,49.78,54.25,59.75,68.3,68.3,68.3,68.3,68.3,67.1,69.7,69.5,69.5,69.5,69.5,74.5,74.5,74.5,74.65
Real Valladolid CF,58.45,56.85,56.38,66.3,66.3,66.3,66.9,66.9,66.9,62.2,63.85,69.2,69.2,69.2,64.7,64.7,64.7,64.7
SD Huesca,23.2,30.23,44.68,47.91,47.91,47.9,49.4,49.4,49.95,47.3,46.6,50.6,50.6,50.6,54.8,54.5,54.5,54.5
Elche CF,7.65,6.33,20.5,34.9,34.9,34.9,33.7,33.7,33.7,34.8,37.3,36.5,36.5,38.5,41.2,41.2,41.2,41.2
Cádiz CF,31.75,30.78,29.2,37.4,37.4,37.4,38.7,38.7,38.7,39.0,38.1,36.9,36.9,36.9,38.7,38.7,38.7,38.7
